Variablenübersicht (nur generierte und nicht interne Variablen);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Studie;Thema und Fragebogenausschnitt;Unterthema;Varname;;DStyp ID;Datensatztyp;Varlabel;Originalvariable;Dateninfo;SyntaxGenVar;VarLevel; Valuelabel Set;Ausprägungen;Text Dt
;;;;;;;;;;;;;-96;Filterbed. fehlend (kein Sport)
GEDA19;Körperliche Aktivität (1501);Körperliche Aktivität allgemein (150100);KAspodauzC;;17;Abt2_DS;Sport pro Woche insgesamt [Minuten];KAspodauz2B KAspodauz3B;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 3.3.2. Physical activity/ Time spent on health-enhancing (non-work-related) aerobic physical activity, S.49/50
Zeitaufwand für gesundheitsfördernde (nicht arbeitsbedingte) aerobe körperliche Aktivität.
Berechnung aus KAspodauz2B und KAspodauz3B zur Summenangabe in Minuten =Sport pro Woche insgesamt 
KAspodauzC = (KAspodauz2B*60) + KAspodauz3B
Missing: wenn KAspodauz2B und KAspodauz3B nicht beantwortet worden sind. Wenn KAehispaq6=0 ""Nie oder seltener als 1 Tag pro Woche"", dann ist KAspodauzC=0

Achtung, es fand keine Plausiprüfung statt zwischen KAehispaq6 und KAspodauz2B und KAspodauz3B. KAspodauzC beinhaltet die Stundenzahl pro Woche.";"/*Transformation of PE7 into minutes: PE7p - KAspodauzC (Sport pro Woche insgesamt [Minuten]*/
PE7p= (KAspodauz2B*60) + KAspodauz3B;
KAspodauzC=PE7p;
/*analog GEDA14*/
IF KAehispaq6=0 THEN KAspodauzC=0;";Scale;KAspodauzB;;
;;;;;;;;;;;;;-96;Filterbed. fehlend (kein Sport)
GEDA19;Körperliche Aktivität (1501);Körperliche Aktivität allgemein (150100);KAspodauC_k;;17;Abt2_DS;Sport pro Woche insgesamt (in 30 min kategorisiert);KAspodauz2B KAspodauz3 KAspodauzC;"Sport pro Woche insgesamt (in 30 min kategorisiert): KAspodauC_k
Missing: wenn KAspodauz2B und KAspodauz3B nicht beantwortet worden sind. Wenn KAehispaq6=0 ""Nie oder seltener als 1 Tag pro Woche"", dann ist KAspodauC_k=0";"IF KAspodauz2B = .F THEN KAspodauC_k = .F;
IF KAspodauzC=0 THEN KAspodauC_k=0; /*0 Minuten*/
IF KAspodauzC>=1 AND KAspodauzC<=30 THEN KAspodauC_k=1; /*1 bis 30 Minuten*/
IF KAspodauzC>=31 AND KAspodauzC<=60 THEN KAspodauC_k=2; /*31 bis 60 Minuten*/
IF KAspodauzC>=61 AND KAspodauzC<=90 THEN KAspodauC_k=3; /*61 bis 90 Minuten*/
IF KAspodauzC>=91 AND KAspodauzC<=120 THEN KAspodauC_k=4; /*91 bis 120 Minuten*/
IF KAspodauzC>=121 AND KAspodauzC<=150 THEN KAspodauC_k=5; /*121 bis 150 Minuten*/
IF KAspodauzC>=151 AND KAspodauzC<=180 THEN KAspodauC_k=6; /*151 bis 180 Minuten*/
IF KAspodauzC>=181 AND KAspodauzC<=210 THEN KAspodauC_k=7; /*181 bis 210 Minuten*/
IF KAspodauzC>=211 AND KAspodauzC<=240 THEN KAspodauC_k=8; /*211 bis 240 Minuten*/
IF KAspodauzC>=241 AND KAspodauzC<=270 THEN KAspodauC_k=9; /*241 bis 270 Minuten*/
IF KAspodauzC>=271 AND KAspodauzC<=300 THEN KAspodauC_k=10; /*271 bis 300 Minuten*/
IF KAspodauzC>=301 AND KAspodauzC<=330 THEN KAspodauC_k=11; /*301 bis 330 Minuten*/
IF KAspodauzC>=331 AND KAspodauzC<=360 THEN KAspodauC_k=12; /*331 bis 360 Minuten*/
IF KAspodauzC>=361 AND KAspodauzC<=390 THEN KAspodauC_k=13; /*361 bis 390 Minuten*/
IF KAspodauzC>=391 AND KAspodauzC<=420 THEN KAspodauC_k=14; /*391 bis 420 Minuten*/
IF KAspodauzC>=421 AND KAspodauzC<=450 THEN KAspodauC_k=15; /*421 bis 450 Minuten*/
IF KAspodauzC>=451 AND KAspodauzC<=480 THEN KAspodauC_k=16; /*451 bis 480 Minuten*/
IF KAspodauzC>=481 AND KAspodauzC<=510 THEN KAspodauC_k=17; /*481 bis 510 Minuten*/
IF KAspodauzC>=511 AND KAspodauzC<=540 THEN KAspodauC_k=18; /*511 bis 540 Minuten*/
IF KAspodauzC>=541 AND KAspodauzC<=570 THEN KAspodauC_k=19; /*541 bis 570 Minuten*/
IF KAspodauzC>=571 AND KAspodauzC<=600 THEN KAspodauC_k=20; /*571 bis 600 Minuten*/
IF KAspodauzC>=601 AND KAspodauzC<=630 THEN KAspodauC_k=21; /*601 bis 630 Minuten*/
IF KAspodauzC>=631 AND KAspodauzC<=660 THEN KAspodauC_k=22; /*631 bis 660 Minuten*/
IF KAspodauzC>=661 AND KAspodauzC<=690 THEN KAspodauC_k=23; /*661 bis 690 Minuten*/
IF KAspodauzC>=691 AND KAspodauzC<=720 THEN KAspodauC_k=24; /*691 bis 720 Minuten*/
IF KAspodauzC>=721 AND KAspodauzC<=750 THEN KAspodauC_k=25; /*721 bis 750 Minuten*/
IF KAspodauzC>=751 AND KAspodauzC<=780 THEN KAspodauC_k=26; /*751 bis 780 Minuten*/
IF KAspodauzC>=781 AND KAspodauzC<=810 THEN KAspodauC_k=27; /*781 bis 810 Minuten*/
IF KAspodauzC>=811 AND KAspodauzC<=840 THEN KAspodauC_k=28; /*811 bis 840 Minuten*/
IF KAspodauzC>=841 AND KAspodauzC<=870 THEN KAspodauC_k=29; /*841 bis 870 Minuten*/
IF KAspodauzC>=871 AND KAspodauzC<=900 THEN KAspodauC_k=30; /*871 bis 900 Minuten*/
IF KAspodauzC>=901 AND KAspodauzC<=930 THEN KAspodauC_k=31; /*901 bis 930 Minuten*/
IF KAspodauzC>=931 AND KAspodauzC<=960 THEN KAspodauC_k=32; /*931 bis 960 Minuten*/
IF KAspodauzC>=961 AND KAspodauzC<=990 THEN KAspodauC_k=33; /*961 bis 990 Minuten*/
IF KAspodauzC>=991 AND KAspodauzC<=1020 THEN KAspodauC_k=34; /*991 bis 1020 Minuten*/
IF KAspodauzC>=1021 AND KAspodauzC<=1050 THEN KAspodauC_k=35; /*1021 bis 1050 Minuten*/
IF KAspodauzC>=1051 AND KAspodauzC<=1080 THEN KAspodauC_k=36; /*1051 bis 1080 Minuten*/
IF KAspodauzC>=1081 AND KAspodauzC<=1110 THEN KAspodauC_k=37; /*1081 bis 1110 Minuten*/
IF KAspodauzC>=1111 AND KAspodauzC<=1140 THEN KAspodauC_k=38; /*1111 bis 1140 Minuten*/
IF KAspodauzC>=1141 AND KAspodauzC<=1170 THEN KAspodauC_k=39; /*1141 bis 1170 Minuten*/
IF KAspodauzC>=1171 AND KAspodauzC<=1200 THEN KAspodauC_k=40; /*1171 bis 1200 Minuten*/
IF KAspodauzC>=1201 AND KAspodauzC<=1230 THEN KAspodauC_k=41; /*1201 bis 1230 Minuten*/
IF KAspodauzC>=1231 AND KAspodauzC<=1260 THEN KAspodauC_k=42; /*1231 bis 1260 Minuten*/
IF KAspodauzC>=1261 AND KAspodauzC<=1290 THEN KAspodauC_k=43; /*1261 bis 1290 Minuten*/
IF KAspodauzC>=1291 AND KAspodauzC<=1320 THEN KAspodauC_k=44; /*1291 bis 1320 Minuten*/
IF KAspodauzC>=1321 AND KAspodauzC<=1350 THEN KAspodauC_k=45; /*1321 bis 1350 Minuten*/
IF KAspodauzC>=1351 AND KAspodauzC<=1380 THEN KAspodauC_k=46; /*1351 bis 1380 Minuten*/
IF KAspodauzC>=1381 AND KAspodauzC<=1410 THEN KAspodauC_k=47; /*1381 bis 1410 Minuten*/
IF KAspodauzC>=1411 AND KAspodauzC<=1440 THEN KAspodauC_k=48; /*1411 bis 1440 Minuten*/
IF KAspodauzC>=1441 AND KAspodauzC<=1470 THEN KAspodauC_k=49; /*1441 bis 1470 Minuten*/
IF KAspodauzC>=1471 AND KAspodauzC<=1500 THEN KAspodauC_k=50; /*1471 bis 1500 Minuten*/
IF KAspodauzC>=1501 AND KAspodauzC<=1530 THEN KAspodauC_k=51; /*1501 bis 1530 Minuten*/
IF KAspodauzC>=1531 AND KAspodauzC<=1560 THEN KAspodauC_k=52; /*1531 bis 1560 Minuten*/
IF KAspodauzC>=1561 AND KAspodauzC<=1590 THEN KAspodauC_k=53; /*1561 bis 1590 Minuten*/
IF KAspodauzC>=1591 AND KAspodauzC<=1620 THEN KAspodauC_k=54; /*1591 bis 1620 Minuten*/
IF KAspodauzC>=1621 AND KAspodauzC<=1650 THEN KAspodauC_k=55; /*1621 bis 1650 Minuten*/
IF KAspodauzC>=1651 AND KAspodauzC<=1680 THEN KAspodauC_k=56; /*1651 bis 1680 Minuten*/
IF KAspodauzC>=1681 AND KAspodauzC<=1710 THEN KAspodauC_k=57; /*1681 bis 1710 Minuten*/
IF KAspodauzC>=1711 AND KAspodauzC<=1740 THEN KAspodauC_k=58; /*1711 bis 1740 Minuten*/
IF KAspodauzC>=1741 AND KAspodauzC<=1770 THEN KAspodauC_k=59; /*1741 bis 1770 Minuten*/
IF KAspodauzC>=1771 AND KAspodauzC<=1800 THEN KAspodauC_k=60; /*1771 bis 1800 Minuten*/
IF KAspodauzC>=1801 THEN KAspodauC_k=61; /*Mehr als 30 Stunden*/";Ordinal;KAspodauC;;
;;;;;;;;;;;;;-96;Filterbed. fehlend (kein Sport)
;;;;;;;;;;;;;0;0 Minuten
;;;;;;;;;;;;;1;1 bis 30 Minuten
;;;;;;;;;;;;;10;271 bis 300 Minuten
;;;;;;;;;;;;;11;301 bis 330 Minuten
;;;;;;;;;;;;;12;331 bis 360 Minuten
;;;;;;;;;;;;;13;361 bis 390 Minuten
;;;;;;;;;;;;;14;391 bis 420 Minuten
;;;;;;;;;;;;;15;421 bis 450 Minuten
;;;;;;;;;;;;;16;451 bis 480 Minuten
;;;;;;;;;;;;;17;481 bis 510 Minuten
;;;;;;;;;;;;;18;511 bis 540 Minuten
;;;;;;;;;;;;;19;541 bis 570 Minuten
;;;;;;;;;;;;;2;31 bis 60 Minuten
;;;;;;;;;;;;;20;571 bis 600 Minuten
;;;;;;;;;;;;;21;601 bis 630 Minuten
;;;;;;;;;;;;;22;631 bis 660 Minuten
;;;;;;;;;;;;;23;661 bis 690 Minuten
;;;;;;;;;;;;;24;691 bis 720 Minuten
;;;;;;;;;;;;;25;721 bis 750 Minuten
;;;;;;;;;;;;;26;751 bis 780 Minuten
;;;;;;;;;;;;;27;781 bis 810 Minuten
;;;;;;;;;;;;;28;811 bis 840 Minuten
;;;;;;;;;;;;;29;841 bis 870 Minuten
;;;;;;;;;;;;;3;61 bis 90 Minuten
;;;;;;;;;;;;;30;871 bis 900 Minuten
;;;;;;;;;;;;;31;901 bis 930 Minuten
;;;;;;;;;;;;;32;931 bis 960 Minuten
;;;;;;;;;;;;;33;961 bis 990 Minuten
;;;;;;;;;;;;;34;991 bis 1020 Minuten
;;;;;;;;;;;;;35;1021 bis 1050 Minuten
;;;;;;;;;;;;;36;1051 bis 1080 Minuten
;;;;;;;;;;;;;37;1081 bis 1110 Minuten
;;;;;;;;;;;;;38;1111 bis 1140 Minuten
;;;;;;;;;;;;;39;1141 bis 1170 Minuten
;;;;;;;;;;;;;4;91 bis 120 Minuten
;;;;;;;;;;;;;40;1171 bis 1200 Minuten
;;;;;;;;;;;;;41;1201 bis 1230 Minuten
;;;;;;;;;;;;;42;1231 bis 1260 Minuten
;;;;;;;;;;;;;43;1261 bis 1290 Minuten
;;;;;;;;;;;;;44;1291 bis 1320 Minuten
;;;;;;;;;;;;;45;1321 bis 1350 Minuten
;;;;;;;;;;;;;46;1351 bis 1380 Minuten
;;;;;;;;;;;;;47;1381 bis 1410 Minuten
;;;;;;;;;;;;;48;1411 bis 1440 Minuten
;;;;;;;;;;;;;49;1441 bis 1470 Minuten
;;;;;;;;;;;;;5;121 bis 150 Minuten
;;;;;;;;;;;;;50;1471 bis 1500 Minuten
;;;;;;;;;;;;;51;1501 bis 1530 Minuten
;;;;;;;;;;;;;52;1531 bis 1560 Minuten
;;;;;;;;;;;;;53;1561 bis 1590 Minuten
;;;;;;;;;;;;;54;1591 bis 1620 Minuten
;;;;;;;;;;;;;55;1621 bis 1650 Minuten
;;;;;;;;;;;;;56;1651 bis 1680 Minuten
;;;;;;;;;;;;;57;1681 bis 1710 Minuten
;;;;;;;;;;;;;58;1711 bis 1740 Minuten
;;;;;;;;;;;;;59;1741 bis 1770 Minuten
;;;;;;;;;;;;;6;151 bis 180 Minuten
;;;;;;;;;;;;;60;1771 bis 1800 Minuten
;;;;;;;;;;;;;61;Mehr als 30 Stunden
;;;;;;;;;;;;;7;181 bis 210 Minuten
;;;;;;;;;;;;;8;211 bis 240 Minuten
;;;;;;;;;;;;;9;241 bis 270 Minuten
GEDA19;Körperliche Aktivität (1501);Körperliche Aktivität allgemein (150100);KAaerob;;17;Abt2_DS;Aerobe körp. Aktivität (mit Gehen und Fahrrad fahren) [Min];KAspodauzC KAcyclemin KAwalkmin;"analog GEDA14: Berechnung des Indikators für gesundheitsfördernde aerobe körperliche Aktivität (GFKA) mit Fahrrad fahren und mit Gehen (Summenangabe in Minuten = Sport pro Woche insgesamt)
KAaerob= KAspodauzC + KAcyclemin + (0.5 * KAwalkmin).
Missingwerte: Wenn KAehispaq6, KAspodauzC, KAcyclemin oder KAwalkmin Missing sind, dann ist KAaerob = Missing.";"/*generate AEROB (KAaerob)= KAspodauzC + KAcyclemin + (0.5 * Kawalkmin);*/
KAaerob = KAspodauzC + KAcyclemin + (0.5 * Kawalkmin);";Scale;;;
;;;;;;;;;;;;;;
GEDA19;Körperliche Aktivität (1501);Körperliche Aktivität allgemein (150100);KAgfka;;17;Abt2_DS;Einhalt. aerobe WHO-Bew.empf. (mit Gehen >= 150 Min. aerobe körp. Aktiv./Wo);KAspodauzC KAcyclemin KAwalkmin KAaerob;"Definition laut GEDA14: Einhaltung der aeroben WHO-Bewegungsempfehlungen
Abgeleitet aus KAspodauzC KAcyclemin KAwalkmin (KAaerob)
Missingwerte: Wenn KAspodauzC, KAcyclemin oder KAwalkmin Missing sind, dann ist KAgfka=Missing.";"IF Kaaerob >= 150 then Kagfka = 1;/*Ja*/
IF Kaaerob>=0 AND Kaaerob < 150 then Kagfka = 2;/*Nein*/";Nominal;JaNein;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;1;Ja
;;;;;;;;;;;;;2;Nein
GEDA19;Körperliche Aktivität (1501);Körperliche Aktivität allgemein (150100);KAaerob1;;17;Abt2_DS;Aerobe körp. Aktivität (ohne Gehen) [Min];KAehispaq6 KAspodauzC KAcyclemin;"analog GEDA14: Berechnung des Indikators für gesundheitsfördernde aerobe körperliche Aktivität (GFKA) mit Fahrrad fahren, ohne Gehen (Summenangabe in Minuten = Sport pro Woche insgesamt)
EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 3.3.2. Physical activity/ Time spent on health-enhancing (non-work-related) aerobic physical activity, S.49/50
KAaerob1 = KAcyclemin + KAspodauzC
Missing: wenn KAehispaq6, KAspodauzC oder KAcyclemin Missing sind, dann ist KAaerob1=Missing.";"/*Recoding for indicator construction*/
PE6p= KAehispaq6;
IF KAehispaq6 in (.K .W) THEN PE6p=.;
IF PE6p=. THEN PE7p=.;
IF KAehispaq6= 0 THEN PE7p= 0;

/*Calculation of health-enhancing (leisure) physical activity indicator*/
/*Berechnung des Indikators für gesundheitsfördernde (Freizeit-)körperliche Aktivität*/
/*hepaMIN = bicMIN + PE7p;*/
hepaMIN = Kacyclemin + PE7p;

KAaerob1=hepaMIN;";Scale;;;
;;;;;;;;;;;;;;
GEDA19;Körperliche Aktivität (1501);Körperliche Aktivität allgemein (150100);KAaerob1_k;;17;Abt2_DS;Gesundheitsfördernde (Freizeit-) körperliche Aktivität (ohne Gehen) kat.;KAehispaq6 KAspodauzC KAcyclemin KAaerob1;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 3.3.2. Physical activity/ Time spent on health-enhancing (non-work-related) aerobic physical activity, S.49/50
Kategorisierung des berechneten Indikators für gesundheitsfördernde aerobe körperliche Aktivität (GFKA) mit Fahrrad fahren, ohne Gehen (aus den Summenangabe in Minuten = Sport pro Woche insgesamt)
0= Keine gesundheitsfördernde (Freizeit-)körperliche Aktivität
1= Weniger als 60 Min
2= 60 bis weniger als 150 Min
3= 150 bis weniger als 300 Min
4= 300 Min und mehr
Missing: wenn KAehispaq6, KAspodauzC oder KAcyclemin Missing sind, dann ist KAaerob1_k=Missing.";"/*Recoding of hepaMIN  (KAaerob1) => hepaMINc (KAaerob1_k)*/
IF (hepaMIN>=0 AND hepaMIN <10) THEN hepaMINc= 0; /*not performing the activities*/
IF (hepaMIN>=10 AND hepaMIN<60) THEN hepaMINc= 1; /*less than 60 min*/
IF (hepaMIN>=60 AND hepaMIN<150) THEN hepaMINc= 2; /*60 to less than 150 min*/
IF (hepaMIN>=150 AND hepaMIN<300) THEN hepaMINc= 3; /*150 to less than 300 min*/
IF (hepaMIN>=300) THEN hepaMINc= 4; /*300 min and more*/

KAaerob1_k=hepaMINc;";Ordinal;KAhepamin;;
;;;;;;;;;;;;;0;Keine gesundheitsfördernde (Freizeit-)körperliche Aktivität
;;;;;;;;;;;;;1;Weniger als 60 Min
;;;;;;;;;;;;;2;60 bis weniger als 150 Min
;;;;;;;;;;;;;3;150 bis weniger als 300 Min
;;;;;;;;;;;;;4;300 Min und mehr
GEDA19;Körperliche Aktivität (1501);Körperliche Aktivität allgemein (150100);KAgfkaB;;17;Abt2_DS;Einhalt. aerobe WHO-Bew.empf. (o. Gehen >= 150 Min. aerobe körp. Aktiv./Wo);KAspodauzC KAcyclemin  KAaerob1;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 3.3.2. Physical activity/ Performing health-enhancing physical activity, S.50/51
Berechnung der Indikatoren für gesundheitsfördernde (Freizeit-)körperliche Aktivität, Einhaltung der aeroben WHO-Bewegungsempfehlungen (ohne Gehen, mit Fahrrad fahren). Missing: wenn KAehispaq6, KAspodauzC, KAcyclemin oder KAaerob1 Missing sind, dann ist KAgfkaB=Missing.";"/*A. aerobePAR => GEDA14: KAgfkaB*/
IF (hepaMIN>=0 AND hepaMIN <150) THEN aerobePAR=0; /*No*/
IF (hepaMIN>=150) THEN aerobePAR=1; /*Yes*/

KAgfkaB=aerobePAR;";Nominal;JaNeinEHIS;;
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;0;Nein
;;;;;;;;;;;;;1;Ja
GEDA19;Körperliche Aktivität (1501);Körperliche Aktivität allgemein (150100);KAgfmk;;17;Abt2_DS;WHO-Empf. zur Muskelkräft. (>= 2x/Wo. Aktivit. zur Muskelkräftigung);KAehispaq8;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 3.3.2. Physical activity/ Performing health-enhancing physical activity, S.50/51
Berechnung der Indikatoren für gesundheitsfördernde (Freizeit-)körperliche Aktivität speziell für den Aufbau oder die Kräftigung der Muskulatur, Einhaltung der aeroben WHO-Bewegungsempfehlungen (ohne Gehen, ohne Fahrrad fahren), Gesundheitsfördernde Aktivitäten zur Muskelkräftigung/GFMK. Missing: wenn KAehispaq8 Missing ist, dann ist KAgmfk=Missing.";"/*B. musclePAR => GEDA14: KAgfmk (Gesundheitsfördernde Aktivitäten zur Muskelkräftigung/GFMK)*/
IF (KAehispaq8 >= 0 AND KAehispaq8 < 2) THEN musclePAR=0;/*No*/
IF (KAehispaq8 >= 2 And KAehispaq8 <=7) THEN musclePAR=1;/*Yes*/

KAgfmk=musclePAR;";Nominal;JaNeinEHIS;;
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;0;Nein
;;;;;;;;;;;;;1;Ja
GEDA19;Körperliche Aktivität (1501);Körperliche Aktivität allgemein (150100);KAgfa;;17;Abt2_DS;>= 150 min Ausdaueraktiv.und 2 x/ Woche Aktiv. zur Muskelkräft.(Einhalt. beider WHO-Empf.);KAgfmk KAgfka1;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 3.3.2. Physical activity/ Performing health-enhancing physical activity, S.50/51
GEDA14: KAgfa (Gesundheitsfördernde Ausdauer- und Muskelkräftigungsaktivität)
Berechnung der Indikatoren für gesundheitsfördernde (Freizeit-)körperliche Aktivität für den Aufbau oder die Kräftigung der Muskulatur und  gesundheitsfördernde (Freizeit-)körperliche Aktivität (ohne Gehen, mit Fahrrad fahren), Einhaltung der aeroben WHO-Bewegungsempfehlungen.
Missing: wenn KAgfkaB und KAgfmk Missing sind, oder wenn KAgfkaB oder KAgfmk Missing sind in Kombination mit der Ausprägung 1 (Yes) bei KAgfkaB oder KAgfmk.";"/*C. totalPAR => GEDA14: KAgfa (Gesundheitsfördernde Ausdauer- und Muskelkräftigungsaktivität)*/
IF aerobePAR = 0 OR musclePAR = 0 THEN totalPAR=0;/*No*/
IF aerobePAR = 1 AND musclePAR = 1 THEN totalPAR=1;/*Yes*/

KAgfa=totalPAR;";Nominal;JaNeinEHIS;;
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;0;Nein
;;;;;;;;;;;;;1;Ja
GEDA19;Körperliche Aktivität (1501);Körperliche Aktivität allgemein (150100);KAabka;;17;Abt2_DS;Mäßig bis sehr anstrengende arbeitsbez. körp. Aktivität;KAehispaq1;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 3.3.2. Physical activity/ Total physical activity, S.51/52
in GEDA14: Mäßig bis sehr anstrengende arbeitsbezogene körperliche Aktivität (ABKA) => KAabka, binary (yes/no).
Missing: wenn KAehispaq1 Missing ist, dann ist KAabka Missing.";"/*Recoding of variable on work-related physical activity*/
IF KAehispaq1 in (2, 3) THEN PE1p = 1;/*yes*/
IF KAehispaq1 in (1, 4) THEN PE1p = 0;/*no*/
IF KAehispaq1 in (.K .W) OR KAehispaq1 not in (1, 2, 3, 4) THEN PE1p = .;

KAabka= PE1p;";Nominal;JaNeinEHIS;;
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;0;Nein
;;;;;;;;;;;;;1;Ja
GEDA19;Körperliche Aktivität (1501);Körperliche Aktivität allgemein (150100);KAsabka;;17;Abt2_DS;Sehr anstrengende arbeitsbezogene körperliche Aktivität;KAehispaq1;in GEDA14: Schwere arbeitsbezogene körperliche Aktivität (SABKA) => KAsabka, binary (yes/no);"IF KAehispaq1=3 THEN KAsabka = 1;/*yes*/
IF KAehispaq1 in (1, 2, 4) THEN KAsabka = 2;/*no*/
IF KAehispaq1 in (.K .W) OR KAehispaq1 not in (1, 2, 3, 4) THEN KAsabka = .;";Nominal;JaNein;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;1;Ja
;;;;;;;;;;;;;2;Nein
GEDA19;Körperliche Aktivität (1501);Körperliche Aktivität allgemein (150100);KAgka_k;;17;Abt2_DS;Gesamtaktivität (kategorisiert);KAgfkaB KAabka;"EHIS Wave 3_Indicators_manual_(2019-06-24).pdf: 3.3.2. Physical activity/ Total physical activity, S.51/52
Berechnung der Gesamtaktivität in vier Kategorien aus KAgfkaB und KAabka analog GEDA14: KAgka_k
Missing: wenn KAgfkaB oder KAabka Missing sind, dann ist KAgka_k=Missing.";"IF KAgfkaB = 0 and Kaabka = 0 THEN workinPAR= 1; /*insufficient health-enhancing aerobic PA and insufficient work-related PA*/
IF KAgfkaB = 1 and Kaabka = 0 THEN workinPAR= 2; /*sufficient health-enhancing aerobic PA and insufficient work-related PA*/
IF KAgfkaB = 0 and Kaabka = 1 THEN workinPAR= 3; /*insufficient health-enhancing aerobic PA and sufficient work-related PA*/
IF KAgfkaB = 1 and Kaabka = 1 THEN workinPAR= 4; /*sufficient health-enhancing aerobic and work-related PA*/
KAgka_k=workinPAR;";Nominal;KAgka_k1f;;
;;;;;;;;;;;;;1;Inaktiv
;;;;;;;;;;;;;2;Aktiv währ. Freizeit
;;;;;;;;;;;;;3;Aktiv währ. Arbeit
;;;;;;;;;;;;;4;Aktiv währ. Arbeit und Freizeit
GEDA19;Körperliche Aktivität (1501);Körperliche Aktivität allgemein (150100);KAgka;;17;Abt2_DS;Ausreichend körp. aktiv während Arbeit oder Freizeit;KAabka KAgfka1;"Ausreichend körp. aktiv während Arbeit oder Freizeit analog GEDA14 => KAgka
Missing: wenn KAgfkaB oder KAabka Missing sind, dann ist KAgka=Missing.";"IF KAgfkaB = 1 OR KAabka = 1 then KAgka = 1;/*yes*/
IF KAgfkaB = 0 and KAabka ne 1 then KAgka = 2;/*no*/
IF (KAgfkaB = . or KAabka = .) THEN DO; KAgka = .; END;";Nominal;JaNein;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;1;Ja
;;;;;;;;;;;;;2;Nein
GEDA19;Ernährung (1502);Food Frequency Questionnaire (150201);ENobstDtgl;;17;Abt2_DS;Täglicher Obstverzehr;ENobstD;"Neu generierte Variable, die den täglichen Obstverzehr als ""Ja"" oder ""Nein"" darstellt.
Nur wer bei ENobstD die Kategorie ""1"" angibt, bekommt bei ENobstDgl ""Ja"". Wer die Kategorie 2 bis 5 angibt, wird mit ""Nein"" kodiert.
Alle anderen Werte stehen auf SYSMIS.";"if ENobstD = 1 then ENobstDtgl=1;
if ENobstD in (2 3 4 5) then ENobstDtgl=2;";Ordinal;JaNein;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;1;Ja
;;;;;;;;;;;;;2;Nein
GEDA19;Ernährung (1502);Food Frequency Questionnaire (150201);ENgemDtgl;;17;Abt2_DS;Täglicher Gemüseverzehr;ENgemD;"Neu generierte Variable, die den täglichen Gemüseverzehr als ""Ja"" oder ""Nein"" darstellt.
Nur wer bei ENgemD die Kategorie ""1"" angibt, bekommt bei ENgemDgl ""Ja"". Wer die Kategorie 2 bis 5 angibt, wird mit ""Nein"" kodiert.
Alle andere Werte stehen auf SYSMIS.";"if ENgemD = 1 then ENgemDtgl=1;
if ENgemD in (2 3 4 5) then ENgemDtgl=2;";Ordinal;JaNein;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;1;Ja
;;;;;;;;;;;;;2;Nein
GEDA19;Ernährung (1502);Food Frequency Questionnaire (150201);ENsaftBtgl;;17;Abt2_DS;Täglicher Obst- und Gemüsesaftverzehr;ENsaftB;"Neu generierte Variable, die den täglichen Obst- und Gemüsesaftverzehr als ""Ja"" oder ""Nein"" darstellt.
Nur wer bei ENsaftB die Kategorie ""1"" angibt, bekommt bei ENsaftBgl ""Ja"". Wer die Kategorie 2 bis 5 angibt, wird mit ""Nein"" kodiert.
Alle andere Werte stehen auf SYSMIS.";"if ENsaftB = 1 then ENsaftBtgl=1;
if ENsaftB in (2 3 4 5) then ENsaftBtgl=2;";Ordinal;JaNein;;
;;;;;;;;;;;;;-96;Filterbed. fehlend
;;;;;;;;;;;;;-97;Nicht erhoben
;;;;;;;;;;;;;1;Ja
;;;;;;;;;;;;;2;Nein
